My name is Ezio Auditore da Firenze ...,13184
"It has been fifteen years since the Spaniard, Rodrigo Borgia, murdered my family and drove me into exile...  Since that time I have suffered greatly but learned a great deal more... I am an Assassin ... ... as my father and grandfathers were before me",13403
"Compelled by duty to my order, I have set aside my search for the Spaniard to recover an ancient artifact recently stolen from us",13514
My thirst for vengeance is strong ...,13547
"... but my responsibility to the Assassins is stronger still.Antonio's been asking for you, EzioÇ. You should talk to him.Ezio! I have been singing your praises to this gentleman. He has a proposition for you.I represent a man who has come to Venezia on a foolish errand. I fear his life is in danger, but he refuses to listen to my counsel.",13841
"And you want me to protect him?It would ease my mind. Antonio claims you are the deadliest man in Italia.That's true. But I am not a hired blade.Ezio, let the man round out his request.... ",14005
"The gentleman I represent has organized a meeting with someone called The SpaniardÇ.You see, Ezio... the Spaniard has come to us!All right. I will protect your friend, but not his business.If that is what it takes to keep Christoffa from harm, so be it.What is the meaning of this delay? The Spaniard promised me an hour of his time.Apologies, Master Christoffa, but the Spaniard's plans have changed. All he requires is proof of your death.Ah! Fortune favors me. Unless you mean me harm as well.A friend of yours sent me to guard you",14470
"Luis Santangel... he cautioned me against this meeting, but I wouldn't listen.How did you find the Spaniard? He isn't one to make many public appearances.",14606
"It was he who found me, actually. He caught wind of my planned expedition West, and expressed a desire to fund it.This meeting was to be our first of many. But as you can see, it went rather askew",14776
Run! I will draw them away.That shook them. I should be safe. As for Christoffa's safety... perhaps I should check back with Antonio,14896
The meeting was a trap.Hm... Santangel's intuition proved correct.It seems so. Where is he,14977
"He asked that you meet him in the Gardens District, should anything go wrong.I'll go, but with caution. ",15068
"Antonio, who are these two men?",15095
"I don't know. Santangel contacted the thieves' guild from Espa°a. When we met, he explained his plight and that's when I contacted you.I'm flattered, but let's not turn this into a habit.Ezio, thank you for all you have done.I'm glad to see you safe, Christoffa, but I am not here to further your interests. I have questions of my own. I won't have many answers. Borgia was merely a financial opportunity. I didn't know him personally",15476
"But you may have another chance to find him. Tell him, Christoffa....",15538
"The Spaniard discovered our lodgings. Our hostel is crawling with his soldiers.They are searching for an atlas of significant worth, containing maps charting a Western route to the Orient.We are prepared to leave Italia for good, but not without that Atlas. In the wrong hands, it could cause great harm.Va bene. But this will be my final favor.Thank you, Ezio. We will wait for your return in the harbor district.The atlas... no mistaking that for anything else.",15938
"Ah, there he is! Do you have the Atlas! Show it! ",15981
"Take it and go. Borgia's soldiers are combing the streets.A few maps are missingÇ but the Piri Reis map remains. We are satisfied.  Gentlemen, if you return to Italia in the future, bring your own protection",16161
"We would have done so, but there are no more men in  Espa°a of your skill. Not since a group of Assassins were imprisoned by Tomas Torquemada's inquisitors.",16297
Wait! What do you know of the Assassins?,16333
"I am a well connected man, Ezio, with a great number of friends. Sadly, the Inquisition has made a recent habit of arresting them.Luis, our ship is waiting!Be well, Ezio. May you find everything you seek.Distressing news, Antonio. My search for the Apple of Eden will have to be postponed. I'm going to Barcelona.",16609
I'd heard rumors of some turmoil there. What's wrong,16656
Santangel claims that a number of Assassins there have been jailed. I feel it is my duty to help them...A noble cause. I will put you in contact with my people there. They should be of some help.Antonio gave me the names of two contacts. One of them should be able to provide me with information.,16910
"Yes, there's a thieves' guild nearby. Somewhere in the center of town.Find the tallest building in town. There's a secret door on the roof.",17030
"Empty, as I feared. Now my only recourse is with the inquisitors themselves.Halt! These premises are the property of the church!How strange to meet a gentleman leaping through these sewers. Are you on the run, or just recreating?Step aside, stranger.You bear the mark of the Assassins ... and from the cut of your outfit I'd say you were ... Venetian?No, Florentine. What do you know of the Assassins?Only that I am one of them, sir. My name is Raphael Sanchez. I arrived here this morning, bound to the same errand as you",17483
Do you know who betrayed us to the Inquisitors?,17525
"Not yet, but we know the name of the Inquisitor Prosecutor responsible for their arrests. Gaspar Martinez.I'd like to meet this Prosecutor.Good. Find me again when you're finished with him.",17691
"I hope we can speak without interruption, Gaspar. Who gave you the names of the imprisoned Assassins?",17779
"What do you mean ""Assassins""? Our dungeons are for heretics, not medieval phantoms.",17852
"No... your purge was too systematic to be a coincidence.Whoever those men claim to be, it won't matter after today.A public burning is about to commence for one of them. A willful young man.If he dies, I will keep that fire burning until this town is a cinder.",18078
What's this? A list?,18097
"Six names... they may be Assassins too... when Sanchez and I cross paths again, I will ask him.",18182
"Steady now. Are you all right?I will be once I leave this place.There he is! Our man of action. Thank you for your help. We cut it close, Raphael. And may yet have more work. Look here. I found a troubling list.I know these men. But they are not local. They live in Zaragoza, in the kingdom of Aragon.The Inquisitor carried this.Then it is safe to assume these men are also targets.Zaragoza will be my next stop. Will you come?",18555
"I will. Although my skills as a fighter are dwindling, I know the town well and could serve as your guide.",18648
"Stay safe gentlemen.Seek out the Inquisition's Calificador, Pedro Llorente. His tribunal meets in a building on the far side of town.",18765
You're not coming,18782
"Oh, no. I'm too well known here. If a tragedy should befall Pedro, I'll need an alibi.",18859
Tomas Torquemada! An unexpected but welcome visit,18905
"I require neither your blessing nor your permission to enter here, Pedro. How is our prisoner? ",18987
"A staunch one. He refuses to convert or confess. Most who are brought here feel they have God's protection, no matter what their faith... and yet they always tremble with fright.But you.... You dismiss the idea of God altogether, and yet you show no fear.Remarkable... Rodrigo Borgia was right to have me arrest you and your cohorts... your lack of faith is a disease.Let the heretic bleed.Already dead... so it was The Spaniard himself who had these men arrested and branded heretics.",19405
I won't allow the remaining five to share this man's fate.,19455
"Many thanks, brother.",19475
You have my thanks.,19493
"What in God's name is going on here! Four escaped heretics?We did not anticipate such an organized resistance, Your Holiness.You assumed the people of Zaragoza would shrug off the random imprisonment of six eminent men?",19683
"We accused them of countless heresies, Pedro. Publicly!",19733
"Your duties do not end with their imprisonment! They begin there!Whoever freed those four men will certainly be looking for the last. Guard our prisoner at all costs, or Torquemada will personally supervise your disemboweling.My most heartfelt thanks, stranger",19960
